"id","major_groups","country"
"1","Oceania And Antarctica","Australia"
"2","Oceania And Antarctica","Norfolk Island"
"3","Oceania And Antarctica","Australian External Territories, nec"
"4","Oceania And Antarctica","New Zealand"
"5","Oceania And Antarctica","New Caledonia"
"6","Oceania And Antarctica","Papua New Guinea"
"7","Oceania And Antarctica","Solomon Islands"
"8","Oceania And Antarctica","Vanuatu"
"9","Oceania And Antarctica","Guam"
"10","Oceania And Antarctica","Kiribati"
"11","Oceania And Antarctica","Marshall Islands"
"12","Oceania And Antarctica","Micronesia, Federated States of"
"13","Oceania And Antarctica","Nauru"
"14","Oceania And Antarctica","Northern Mariana Islands"
"15","Oceania And Antarctica","Palau"
"16","Oceania And Antarctica","Cook Islands"
"17","Oceania And Antarctica","Fiji"
"18","Oceania And Antarctica","French Polynesia"
"19","Oceania And Antarctica","Niue"
"20","Oceania And Antarctica","Samoa"
"21","Oceania And Antarctica","Samoa, American"
"22","Oceania And Antarctica","Tokelau"
"23","Oceania And Antarctica","Tonga"
"24","Oceania And Antarctica","Tuvalu"
"25","Oceania And Antarctica","Wallis and Futuna"
"26","Oceania And Antarctica","Pitcairn Islands"
"27","Oceania And Antarctica","Polynesia (excludes Hawaii), nec"
"28","Oceania And Antarctica","Adelie Land (France)"
"29","Oceania And Antarctica","Argentinian Antarctic Territory"
"30","Oceania And Antarctica","Australian Antarctic Territory"
"31","Oceania And Antarctica","British Antarctic Territory"
"32","Oceania And Antarctica","Chilean Antarctic Territory"
"33","Oceania And Antarctica","Queen Maud Land (Norway)"
"34","Oceania And Antarctica","Ross Dependency (New Zealand)"
"35","North-West Europe","England"
"36","North-West Europe","Isle of Man"
"37","North-West Europe","Northern Ireland"
"38","North-West Europe","Scotland"
"39","North-West Europe","Wales"
"40","North-West Europe","Guernsey"
"41","North-West Europe","Jersey"
"42","North-West Europe","Ireland"
"43","North-West Europe","Austria"
"44","North-West Europe","Belgium"
"45","North-West Europe","France"
"46","North-West Europe","Germany"
"47","North-West Europe","Liechtenstein"
"48","North-West Europe","Luxembourg"
"49","North-West Europe","Monaco"
"50","North-West Europe","Netherlands"
"51","North-West Europe","Switzerland"
"52","North-West Europe","Denmark"
"53","North-West Europe","Faroe Islands"
"54","North-West Europe","Finland"
"55","North-West Europe","Greenland"
"56","North-West Europe","Iceland"
"57","North-West Europe","Norway"
"58","North-West Europe","Sweden"
"59","North-West Europe","Aland Islands"
"60","Southern And Eastern Europe","Andorra"
"61","Southern And Eastern Europe","Gibraltar"
"62","Southern And Eastern Europe","Holy See"
"63","Southern And Eastern Europe","Italy"
"64","Southern And Eastern Europe","Malta"
"65","Southern And Eastern Europe","Portugal"
"66","Southern And Eastern Europe","San Marino"
"67","Southern And Eastern Europe","Spain"
"68","Southern And Eastern Europe","Albania"
"69","Southern And Eastern Europe","Bosnia and Herzegovina"
"70","Southern And Eastern Europe","Bulgaria"
"71","Southern And Eastern Europe","Croatia"
"72","Southern And Eastern Europe","Cyprus"
"73","Southern And Eastern Europe","North Macedonia"
"74","Southern And Eastern Europe","Greece"
"75","Southern And Eastern Europe","Moldova"
"76","Southern And Eastern Europe","Romania"
"77","Southern And Eastern Europe","Slovenia"
"78","Southern And Eastern Europe","Montenegro"
"79","Southern And Eastern Europe","Serbia"
"80","Southern And Eastern Europe","Kosovo"
"81","Southern And Eastern Europe","Belarus"
"82","Southern And Eastern Europe","Czechia"
"83","Southern And Eastern Europe","Estonia"
"84","Southern And Eastern Europe","Hungary"
"85","Southern And Eastern Europe","Latvia"
"86","Southern And Eastern Europe","Lithuania"
"87","Southern And Eastern Europe","Poland"
"88","Southern And Eastern Europe","Russian Federation"
"89","Southern And Eastern Europe","Slovakia"
"90","Southern And Eastern Europe","Ukraine"
"91","North Africa And The Middle East ","Algeria"
"92","North Africa And The Middle East ","Egypt"
"93","North Africa And The Middle East ","Libya"
"94","North Africa And The Middle East ","Morocco"
"95","North Africa And The Middle East ","Sudan"
"96","North Africa And The Middle East ","Tunisia"
"97","North Africa And The Middle East ","Western Sahara"
"98","North Africa And The Middle East ","Spanish North Africa"
"99","North Africa And The Middle East ","South Sudan"
"100","North Africa And The Middle East ","Bahrain"
"101","North Africa And The Middle East ","Occupied Palestinian Territories"
"102","North Africa And The Middle East ","Iran"
"103","North Africa And The Middle East ","Iraq"
"104","North Africa And The Middle East ","Israel"
"105","North Africa And The Middle East ","Jordan"
"106","North Africa And The Middle East ","Kuwait"
"107","North Africa And The Middle East ","Lebanon"
"108","North Africa And The Middle East ","Oman"
"109","North Africa And The Middle East ","Qatar"
"110","North Africa And The Middle East ","Saudi Arabia"
"111","North Africa And The Middle East ","Syria"
"112","North Africa And The Middle East ","Türkiye"
"113","North Africa And The Middle East ","United Arab Emirates"
"114","North Africa And The Middle East ","Yemen"
"115","South-East Asia","Myanmar"
"116","South-East Asia","Cambodia"
"117","South-East Asia","Laos"
"118","South-East Asia","Thailand"
"119","South-East Asia","Vietnam"
"120","South-East Asia","Brunei Darussalam"
"121","South-East Asia","Indonesia"
